Date,Site,Flight origin,Destination,Fatalities,Injuries,Survivors
31-Oct-94,41.09444; -87.32222,39.71722; -86.29444,41.97861; -87.90472,68,,0
22-Nov-94,38.74139; -90.34611,,,2,8 (minor),0
11-Dec-94,25.84583; 131.24167,14.50833; 121.01972,35.76528; 140.38556,1,10,292
21-Dec-94,52.37250; -1.47972,,,5,,0
26-Dec-94,43.43972; 5.21500,36.6910139; 3.2154083,48.72333; 2.37944,"7 (3 passengers, 4 hijackers)","25 (13 passengers, 3 crew, 9 GIGN)",229 A
29-Dec-94,38.40000; 43.23000,40.12806; 32.99500,38.46833; 43.33222,57,,19
11January1995(1995-01-11),9.9833; -75.3500,4.70139; -74.14694,10.44250; -75.51306,51,1,1
19January1995(1995-01-19),58.700; 1.300,57.20250; -2.19806,"Brae Alpha oil rig, Brae oilfield, North Sea",0,,18
31March1995(1995-03-31),44.598472; 26.106444,44.57111; 26.08500,50.90139; 4.48444,60,,0
24 May 1995(1995-05-24),53.917; -1.517,53.86611; -1.66083,57.20250; -2.19806,12,,0
9-Jun-95,"Tararua Ranges, New Zealand",-37.00806; 174.79167,-40.32056; 175.61694,4,17,17
9-Aug-95,13.5995528; -88.8493194,14.58167; -90.52667,"El Salvador International Airport, San Salvador, El Salvador",65,0,
21-Aug-95,33.58083; -85.21417,33.63667; -84.42806,30.40722; -89.07000,9[a],20,20
15-Sep-95,4.30000; 118.10000,5.94472; 116.05861,4.31333; 118.12194,34,,19
12-Nov-95,41.92500; -72.64944,41.97861; -87.90472,41.93917; -72.68333,0,1,78 (all)
13-Nov-95,10.69583; 7.32083,9.23000; 12.46000,6.57722; 3.32111,11,66,127
3December1995(1995-12-03),4.00583; 9.71944,6.35583; 2.38500,4.00583; 9.71944,71,5,5
5December1995(1995-12-05),39.19722; 45.39444,39.18861; 45.45833,39.19722; 45.39444,52,,30
6December1995(1995-12-06) (UTC date),48.14222; 138.84389,46.967; 142.733,48.52806; 135.18833,98,,0
7-Dec-95,18.23333; -72.06667,,,20,0,0
13 December 1995(1995-12-13),45.3762667; 10.8568944,45.39639; 10.88806,45.81000; 21.33806,49,,
18December1995(1995-12-18),"Jamba, Cuando Cubango, Angola","Jamba, Angola (airport not named)",-12.500; 18.500,141,3,3
20-Dec-95,3.845889; -76.104750,25.79333; -80.29056,3.54167; -76.38194,159,4,4
"January8,1996(1996-01-08)",-4.3295; 15.318,-4.32667; 15.32722,-7.34028; 18.98889,2,,4[1]
6-Feb-96,19.91389; -70.40556,19.75778; -70.57000,50.03333; 8.57056,189,,0
29-Feb-96,-16.34083; -71.56917,-12.02194; -77.11444,-16.34083; -71.56917,123,,0
"May11,1996(1996-05-11)",25.91306; -80.57806,25.79333; -80.29056,33.63667; -84.42806,110,,0
"June9,1996(1996-06-09)",37.50500; -77.31944,40.27667; -74.81333,37.50500; -77.31944,0,1,53 (all)
13-Jun-96,33.58444; 130.45167,33.58444; 130.45167,-6.12556; 106.65583,3,68,272
July 6 1996,30.47778; -87.19028,30.47333; -87.18667,33.63667; -84.42806,2,5,140
"July17,1996(1996-07-17)","Moriches Inletnear East Moriches, New York",John F. Kennedy Int'l AirportNew York City,41.80028; 12.23889,230,,0
19-Aug-96,"Cornfield northeast of Belgrade Nikola Tesla Airport, Belgrade, Yugoslavia",56.833; 60.583,35.85750; 14.47750,11,,0
29-Aug-96,78.214100; 16.095317,55.59611; 37.26750,78.24611; 15.46556,141,,0
3-Sep-96,43.217; 27.917,33.82111; 35.48833,60.20278; 11.08389,0,,158
2October1996(1996-10-02),"Pacific Oceannear Pasamayo, Huaral, Peru",25.79333; -80.29056,-33.39278; -70.78556,70,,0
31October1996(1996-10-31),"Jabaquara, São Paulo, Brazil",-23.43556; -46.47306,-8.12639; -34.92278,95,,0
7-Nov-96,41.7456; 100.318,5.01528; 6.95000,6.57722; 3.32111,144,,0
12-Nov-96,28.6; 76.2739,42.36500; 69.47611,28.56861; 77.11222,37,,0
19-Nov-96,"Quincy Municipal Airport, Gilmer Township, Adams County, Illinois, near Quincy, Illinois, United States",Chicago O'Hare International Airport,Quincy Municipal Airport,2,,0
23November1996(1996-11-23),-11.37278; 43.30694,8.97778; 38.79944,5.261417; -3.925778,125 (including 3 hijackers),46,50
7December1996(1996-12-07),-3.333; 114.583,-3.44222; 114.76250,-2.49917; 112.97500,18 (including 2 on the ground),3 (including 2 on the ground),1 (initially 2)
"January9,1997(1997-01-09)",41.9633556; -83.5523306,39.04889; -84.66778,42.21250; -83.35333,29,,0
18-Mar-97,44.217; 42.050,45.11000; 42.11333,40.99500; 39.78972,50,,0
19-Apr-97,-2.74556; 107.75472,"Soekarno Hatta International Airport, Jakarta",-2.74556; 107.75472,15,,38
8-May-97,22.63944; 113.81083,29.71917; 106.64167,22.63944; 113.81083,35,9,39
31-Jul-97,40.6872; -74.1742,1.35917; 103.98944,40.69250; -74.16861,0,5 (all),5 (all)
17-Jul-97,"Margahayu, Bandung, West Java, Indonesia",-6.90056; 107.57639,-6.26639; 106.89111,28,22±,22
"August6,1997(1997-08-06)",13.45528; 144.73278,37.55806; 126.79056,13.48389; 144.79722,228[a],25,26
10-Aug-97,26.15111; 119.92722,25.06944; 121.55167,26.15111; 119.92722,16,,0
"September3,1997(1997-09-03)",11.5464; 104.8440,10.81889; 106.65194,11.54639; 104.84389,65,,1 (5 initially)
6-Sep-97,"Lambir Hills National Park near Miri, Malaysia",4.94417; 114.92833,4.39250; 113.98611,10,,0
26-Sep-97,3.26472; 98.68000,-6.12556; 106.65583,3.26472; 98.68000,234,,0
10-Oct-97,-32.97917; -58.05278,-27.38583; -55.97056,-34.55889; -58.41639,74,,0
15December1997(1997-12-15),,38.53500; 68.81806,25.35750; 55.39083,85,1,1
17-Dec-97,40.227271; 22.241433,50.34472; 30.89333,40.51972; 22.97083,70,,0
19-Dec-97,-2.45833; 104.93667,-6.12556; 106.65583,1.35917; 103.98944,104,,0
28-Dec-97,0; -160,35.76528; 140.38556,"Honolulu International Airport, HI (HNL/PHNL)",1,102,392
2-Feb-98,8.6489444; 125.0332222,14.50833; 121.01972,8.48; 124.65,104,,0
16-Feb-98,25.07639; 121.22389,-8.74806; 115.16750,25.07639; 121.22389,196[3],,0
19-Mar-98,Sharki Baratayi Mountain,25.32917; 55.51611,34.56583; 69.21306,45,,0
"March 22, 1998(1998-03-22)",10.65028; 122.93639,14.50833; 121.01972,10.6425111; 122.9296167,0,44[2],130
20-Apr-98,4.71111; -74.07222,4.70139; -74.14694,-0.1133; -78.3586,53,,0
5May1998(1998-05-05),,-3.78472; -73.30833,-2.79583; -76.46667,75,,13
25-May-98,25.12639; 62.32250,25.23222; 62.32722,17.23000; 78.43194,0,0,38
26-May-98,47.917; 106.883,49.02778; 104.04444,49.63556; 100.15556,28,,0
18-Jun-98,45.67972; -74.03861,45.450; -73.750,44.300; -78.317,11,,0
30-Jul-98,47.517; -3.000,47.71944; -2.72333,47.75; -3.36,1,,0
24-Aug-98,"near Tachilek, Myanmar (Burma)",16.90722; 96.13306,"Tachilek Airport, Tachilek, Myanmar (Burma)",36,,0
29-Aug-98,"Near Mariscal Sucre International Airport, Quito, Pichinca province, Ecuador",-0.1133; -78.3586,-2.15750; -79.88361,70,39,21
2-Sep-98,"Atlantic Ocean, near St. Margarets Bay, Nova Scotia, Canada","John F. Kennedy International AirportNew York City,  US",46.23833; 6.10944,229,,0
25September1998(1998-09-25),35.27972; -2.95639,36.67500; -4.49917,35.27972; -2.95639,38,,0
29-Sep-98,8.967; 79.883,9.7923333; 80.0700833,6.8219944; 79.8862083,55,,0
10-Oct-98,2.95000; 25.95000,-2.91917; 25.91528,-4.385750; 15.4445694,41,,0
11December1998(1998-12-11),9.13333; 99.33167,13.91250; 100.60667,9.13250; 99.13556,101,45,45
"February24,1999(1999-02-24)",27.91583; 120.65611,30.57833; 103.94694,27.91194; 120.85194,61,,0
7-Apr-99,37.033; 35.817,36.98194; 35.28028,21.67944; 39.15667,6,,0
15April1999(1999-04-15),31.11278; 121.38167,31.19806; 121.33639,37.55806; 126.79056,3,,0
1-Jun-99,34.73611; -92.33111,32.89694; -97.03806,34.730778; -92.219472,11,110,134
24July1999(1999-07-24),"Nasevou village, Delailasakau, Fiji",-18.04333; 178.55917,-17.75528; 177.44333,17,,0
23-Jul-99,35.683; 139.683,35.5612556; 139.7160500,42.77528; 141.69250,1 (Captain),0,516
7-Aug-99,17.070; -25.171,,,18,0,0
22-Aug-99,22.30889; 113.91444,13.91250; 100.60667,25.07639; 121.22389,3,"208 (44 serious, 164 minor)",312
31-Aug-99,-34.55889; -58.41639,-34.55889; -58.41639,-31.31000; -64.20833,63,40,37
5-Sep-99,27.767; 85.267,28.20083; 83.98194,27.69639; 85.35889,15,0,0
14-Sep-99,41.98444; 2.82111,,,1,43 (2 serious),244
23 September 1999(1999-09-23),13.75250; 100.49417,-33.94611; 151.17722,51.47750; -0.46139,0,38 (minor),410 (all)
31-Oct-99,40.34750; -69.75667,"Los Angeles International AirportLos Angeles, California, United States",30.12194; 31.40556,217,,0
9-Nov-99,"Near Uruapan International Airport, Uruapan, Michoacán",32.54083; -116.97000,"Mexico City International Airport, Mexico City",18,,0
12-Nov-99,42.967; 21.050,41.80028; 12.23889,42.57278; 21.03583,24,,0
7-Dec-99,"Between Kasibu, Nueva Vizcaya and Cabarroguis, Quirino, Philippines",14.50833; 121.01972,16.93000; 121.75306,17,0,0
"December11,1999(1999-12-11)",,37.74111; -25.68056,39.45500; -31.13139,35,,
21-Dec-99,14.58167; -90.52667,22.98917; -82.40917,14.58167; -90.52667,18 (2 on ground),57 (20 on ground),298
22-Dec-99,51.85639; 0.21639,37.55806; 126.79056,45.63000; 8.72306,4,,0
24 December 1999 – 31 December 1999,"Hijacked in Indian airspace between Kathmandu, Nepal and Delhi, India; landed at Amritsar, India; Lahore, Pakistan; Dubai, United Arab Emirates; and Kandahar, Afghanistan.",27.69639; 85.35889,28.56861; 77.11222,1,17,190 (including 5 hijackers)
25-Dec-99,10.183; -68.250,22.98917; -82.40917,10.60306; -66.99056,22,,0
10 January 2000(2000-01-10),47.470; 8.470,47.46472; 8.54917,51.13444; 13.76806,10,,0
13January2000(2000-01-13),"Mediterranean Sea, 5km off Marsa Brega, Libya",32.66944; 13.15667,"Marsa Brega Airport, Marsa Brega, Libya",21,17 (11 seriously injured),19
30-Jan-00,5.225917; -3.936583,5.225917; -3.936583,-1.31861; 36.92583,169,10,10
"January 31, 2000(2000-01-31)",34.0583; -119.3467,20.68000; -105.25417,47.44889; -122.30944,88 (all on board),,0
16-Feb-00,38.58917; -121.30278,39.49917; -119.76806,39.90222; -84.21944,3,,0
"March 5, 2000(2000-03-05)",34.20056; -118.35861,36.08000; -115.15222,34.20056; -118.35861,0,44,142 (all)
"April 19, 2000(2000-04-19)",7.15667; 125.70083,14.50833; 121.01972,7.12528; 125.64583,131,,0
22-Jun-00,30.583; 114.283,30.32028; 109.48500,30.78361; 114.20806,49 (7 on the ground)[1],,0
4-Jul-00,40.51972; 22.97083,47.43944; 19.26194,40.51972; 22.97083,0,,94
8-Jul-00,"Near Chulum Juarez, Mexico",16.56167; -93.02583,17.99500; -92.81722,19,,0
12 July 2000(2000-07-12),48.200; 16.367,35.53167; 24.14972,52.46083; 9.68500,0,26 (minor),151 (all)
17July2000(2000-07-17),25.59361; 85.09194,22.65472; 88.44667,28.56861; 77.11222,55,3,3 (initially 7)
25July2000(2000-07-25),48.98556; 2.47222,49.00972; 2.54778,40.69250; -74.16861,109,,0
23August2000(2000-08-23),26.297500; 50.646944,30.12194; 31.40556,26.27083; 50.63361,143,,0
31 October 2000(2000-10-31),25.07639; 121.22389,1.35917; 103.98944,33.94250; -118.40806,83 (including 2 from injuries),71,96 (98 initially)
15November2000(2000-11-15),-8.83833; 13.23444,-8.85833; 13.23111,"Namibe Airport, Namibe, Angola",57,,0
18November2000(2000-11-18),"Near Datah Dawai Airport, Long Panhangai District, Malinau Regency, East Kalimantan, Indonesia",0.81028; 114.53028,-0.4193556; 117.1537056,0,"18 (all, 11 seriously)",18 (all)
29December2000(2000-12-29),15.633; 32.533,51.1565; -0.1609,-1.31861; 36.92583,0,5,398 (all)
23-Jan-01,11.5473306; 43.1594806,15.47639; 44.21972,14.80222; 42.95111,0,1,101 (all)
25-Jan-01,"Abobo shantytown, Ciudad Bolívar, Venezuela",6.23194; -62.85417,10.91389; -63.96806,"25 (all, including one on the ground)",3 (on the ground),0
"January 31, 2001(2001-01-31)","near Yaizu, Shizuoka, Japan",35.17944; 128.93833,35.76528; 140.38556,0,0,250 (all)
27-Feb-01,56.075; -3.750,55.95000; -3.37250,54.65750; -6.21583,2,,0
3March2001(2001-03-03),13.91250; 100.60667,13.91250; 100.60667,18.76667; 98.96250,1,6,7
24-Mar-01,"La Tourmente Pass, District of Public-Corossol,  Saint Barthélemy, Guadeloupe",18.04083; -63.10944,17.900; -62.833,20 (including 1 on the ground),,0
29March2001(2001-03-29),39.2357639; -106.8765472,33.94250; -118.40806,39.22306; -106.86889,18,,0
"May 17, 2001(2001-05-17)",36.440194; 53.207333,"Tehran-Mehrabad Airport (THR/OIII), Iran",36.909389; 54.401333,30,,0
4 July 2001(2001-07-04),52.283; 104.267,56.74139; 60.80361,43.133; 131.900,145,,0
"August 24, 2001(2001-08-24)",38.717; -27.233,43.67667; -79.63056,38.77417; -9.13417,,18 (16 minor; 2 serious),306 (all)
29-Aug-01,36.71944; -4.42000,,,4,,43
"September11, 2001; 17 years ago(2001-09-11) 8:46 a.m. – 10:28a.m. (EDT)",,,,,,
"Tuesday, September 11, 2001(2001-09-11)",40.7121194; -74.0131889,42.36306; -71.00639,33.94250; -118.40806,92 (all; including 5 hijackers),,0
"Tuesday, September 11, 2001(2001-09-11)",40.7127; -74.0059,42.36306; -71.00639,33.94250; -118.40806,65 (including 5 hijackers),,0
"Tuesday, September 11, 2001(2001-09-11)","West wall of Pentagon, Arlington County, Virginia, U.S.",38.94444; -77.45583,33.94250; -118.40806,64 (including 5 hijackers),,0
"Tuesday, September 11, 2001(2001-09-11)",40.050778; -78.904806,40.69250; -74.16861,San Francisco Int'l Airport,44 (including 4 hijackers),,0
4-Oct-01,42.183; 37.617,32.00944; 34.88278,55.01250; 82.65056,78,,0
8October2001(2001-10-08),45.44944; 9.27833,45.44944; 9.27833,48.96944; 2.44139,4,,0
"November 12, 2001(2001-11-12)",40.57722; -73.85056,"John F. Kennedy International AirportNew York City, United States",18.42944; -69.66889,260,,0
24 November 2001(2001-11-24),47.45389; 8.62333,52.55972; 13.28778,47.46472; 8.54917,24,9,9
"December 22, 2001(2001-12-22)",,,,,,
"Tuesday, September 11, 2001(2001-09-11)",40.7121194; -74.0131889,42.36306; -71.00639,33.94250; -118.40806,92 (all; including 5 hijackers),,0
"Tuesday, September 11, 2001(2001-09-11)",40.7127; -74.0059,42.36306; -71.00639,33.94250; -118.40806,65 (including 5 hijackers),,0
"Tuesday, September 11, 2001(2001-09-11)","West wall of Pentagon, Arlington County, Virginia, U.S.",38.94444; -77.45583,33.94250; -118.40806,64 (including 5 hijackers),,0
"Tuesday, September 11, 2001(2001-09-11)",40.050778; -78.904806,40.69250; -74.16861,San Francisco Int'l Airport,44 (including 4 hijackers),,0
"January 16, 2002(2002-01-16)",-7.66750; 110.78000,-7.66750; 110.78000,-7.78806; 110.43167,1 (flight attendant),13 (1 serious),59
"January 28, 2002(2002-01-28)",0.949; -77.888,-0.1133; -78.3586,3.54167; -76.38194,94,,0
12-Feb-02,,35.68917; 51.31361,33.48778; 48.35583,119,,0
"April 15, 2002(2002-04-15)",35.2327; 128.9280,40.07250; 116.59750,35.17944; 128.93833,129,37,37
4May2002(2002-05-04),"District of Ungwar Maja, Gwammaja, Kano, Nigeria",12.04861; 8.52222,6.57722; 3.32111,71,6,6
7May2002(2002-05-07),36.80639; 10.18167,30.12194; 31.40556,36.85111; 10.22722,14,28,"48 (3 crew, 45 passengers)"
"May 7, 2002(2002-05-07)",38.7; 119.9,40.07250; 116.59750,38.96556; 121.53833,112,,0
25 May 2002(2002-05-25),23.98972; 119.67917,25.07639; 121.22389,22.3033917; 114.1601694,225,,0
1 July 2002(2002-07),47.77833; 9.17389,47.77833; 9.17389,50.90139; 4.48444,2,,0
4July2002(2002-07-04),,12.13472; 15.05583,-4.25167; 15.25306,28,2,2
10-Jul-02,52.63278; 13.77000,47.59000; 7.52917,53.63028; 9.99111,0,1,20 (all)
22-Aug-02,28.26389; 83.97222,28.78222; 83.72250,28.26389; 83.97222,18,,0
30-Aug-02,-9.97472; -67.81000,-8.15472; -70.78278,-9.97472; -67.81000,23,8,8
"October9,2002(2002-10-09)",58.000; -178.000,42.21250; -83.35333,35.76528; 140.38556,0,0,404 (all)
6-Nov-02,49.65583; 6.27389,52.47361; 13.40167,49.62333; 6.20444,20,,2
"November11,2002(2002-11-11)",14.51667; 120.76667,14.50833; 121.01972,18.17806; 120.53194,19,15,
23December2002(2002-12-23),"Near Ardestan, Iran",49.92472; 36.29000,32.75083; 51.86111,44,,0
"January 8, 2003(2003-01-08)",35.22722; -80.84306,35.21389; -80.94306,34.89556; -82.21889,21 (all on board the aircraft),1 (on ground),0
8-Jan-03,37.89389; 40.20083,40.97611; 28.81417,37.89389; 40.20083,75,3,5
3-Jan-03,-6.217; -77.850,-12.02194; -77.11444,-6.20139; -77.85694,46,,0
6March2003(2003-03-06),22.81111; 5.45083,22.81111; 5.45083,36.6910139; 3.2154083,102,1,1
8-May-03,-6.150; 23.600,-3; 24,-11.667; 27.483,17 (Government officials)  60 (officials estimation)  129 (airport officials)  200 (survivors),Unknown,At least 40
26-May-03,,43.061306; 74.477556,41.650; -0.883,75,,0
29-May-03,-40; 146,-37.67333; 144.84333,-41.54500; 147.21500,0,3,53 (all)
8July2003(2003-07-08),19.62000; 37.21667,19.43361; 37.23417,15.5894972; 32.5531611,117,,0
26-Aug-03,41.617; -70.250,41.700; -70.233,42.74917; -73.80194,2,,0
22 November 2003(2003-11-22),33.26250; 44.23444,33.26250; 44.23444,26.27083; 50.63361,,0,3 (all)
"December18,2003(2003-December-18)",35.04250; -89.97667,37.72139; -122.22083,35.04250; -89.97667,0,2 (Minor),7 (all)
25-Dec-03,6.367; 2.433,9.5768889; -13.6119611,25.25278; 55.36444,141,22,22 (initially 35)
3 January 2004(2004-01-03),27.833; 34.383,27.97722; 34.39472,49.00972; 2.54778,148,,0
13-Jan-04,41.257861; 69.2811861,37.217; 67.283,41.257861; 69.2811861,37,0,0
10-Feb-04,"Al Muwafjah, Sharjah",26.533; 53.967,25.32917; 55.51611,"43 (37 passengers, 6 crew)",3,3
14-May-04,-3.04111; -60.05056,-3.45944; -68.93333,-3.04111; -60.05056,33 (all),0,0
8June2004(2004-06-08),0.39000; 9.45000,0.39000; 9.45000,-1.65611; 13.43806,19,11,11
13-Aug-04,"World of Sports golf course, Florence, Kentucky, United States",35.11750; -89.97111,39.04889; -84.66778,1,1,1
24-Aug-04,"Tula and Rostov Oblasts, Russia",55.40861; 37.90611,43.45000; 39.95667,46 (all),,0
14-Oct-04,44.87972; -63.51028,41.93917; -72.68333,41.66611; -1.04167,7,,0
"October14,2004(2004-10-14)",38.54917; -92.14333,34.730778; -92.219472,44.88194; -93.22167,2,0,0
"October 19, 2004(2004-10-19)",40.19472; -92.58333,38.74722; -90.36139,40.09333; -92.54500,13,2 (serious),2
21 November 2004(2004-11-21),40.650; 109.833,40.55972; 109.99667,31.19806; 121.33639,53,,0
30 November 2004(2004-11-30),-7.51611; 110.75694,-6.12556; 106.65583,-7.37972; 112.78694,25,109,128
"February 3, 2005(2005-02-03)",38.59417; 75.31333,34.21000; 62.22833,KBL- HEA,104,,0
20-Feb-05,34.050; -118.250,,51.47750; -0.46139,0,,369 (all)
"March 6, 2005(2005-03-06)",23.03444; -81.43528,23.03444; -81.43528,46.79111; -71.39333,0,0,271 (all)
16 March 2005(2005-03-16),"Varandey Airport, Nenetskiy Avtonomnyy Okrug, Russia",66.00000; 57.36667,"Varandey Airport, Nenetskiy Avtonomnyy Okrug, Russia","28 (26 passengers, 2 crew)",,24
7-May-05,-12.737; 143.218,-10.88333; 142.38333,-12.78694; 143.30472,15,,0
"June 9, 2005(2005-06-09)",42.35861; -70.99694,,39.87194; -75.24111,0,0,109 (all)
"June 9, 2005(2005-06-09)",42.35861; -70.99694,,39.87194; -75.24111,0,0,109 (all)
16-Jul-05,"Near Baney, Equatorial Guinea",3.75500; 8.70861,Bata Airport,60,2,0
2 August 2005(2005-08-02),43.656444; -79.624722,49.00972; 2.54778,43.67667; -79.63056,,"43 (31 minor, 12 serious)",309 (all)
6-Aug-05,38.40444; 13.45833,41.1388556; 16.7605944,33.87500; 10.77528,16,11,23
10-Aug-05,59.542433; 24.730867,,,14,,0
14 August 2005(2005-08-14),38.231567; 23.970233,34.87889; 33.63028,38.231567; 23.970233,121,,0
16August2005(2005-08-16),9.66639; -72.61111,9.07139; -79.38361,9.66639; -72.61111,160,,0
23-Aug-05,-8.41667; -74.59583,-12.050; -77.033,"Crnl. FAP F. S. Vignetta Int'l AirportIquitos, Peru",40,,58
5 September 2005(2005-09-05),3.5465; 98.6589,3.64222; 98.88528,-6.12556; 106.65583,100,17[1],17
5 September 2005(2005-09-05),2.8281472; 27.5870611,0.500; 29.467,"Matari Airport, Isiro, Democratic Republic of the Congo",11,,0
9 September 2005(2005-09-09),-1.44; 15.556,-0.281; 20.876,-4.32500; 15.32222,13,,0
"September 21, 2005(2005-09-21)",34.08333; -118.44778,34.20056; -118.35861,40.63972; -73.77889,0,0,146 (all)
22 October 2005(2005-10-22),6.81194; 3.30528,6.57722; 3.32111,9.00667; 7.26306,117,,0
8-Dec-05,41.83694; -87.68472,39.17528; -76.66833,36.08000; -115.15222,1 (on ground),12 (9 on ground),103 (all on board aircraft)
10 December 2005(2005-12-10),5.01528; 6.95000,9.00667; 7.26306,5.01528; 6.95000,108,7,2
"December19,2005(2005-12-19)",25.76056; -80.12389,26.133; -80.150,25.733; -79.250,20,,0
23-Dec-05,"Caspian Sea, near Nardaran, Azerbaijan",40.46750; 50.04667,43.86000; 51.09194,23,,0
31-Mar-06,"Pico da Pedra Bonita, Rio Bonito, Brazil",-22.37083; -41.78694,-22.91028; -43.16278,19,0,0
"May 3, 2006(2006-05-03)",43.39750; 39.85750,40.14722; 44.39583,43.45000; 39.95667,113,,0
21-Jun-06,27.91; 83.12,28.10361; 81.66694,29.27417; 82.19333,9,,0
9July2006(2006-07-09),52.38000; 104.16528,55.40861; 37.90611,52.26806; 104.38889,125,63,78
10 July 2006(2006-07-10)  at 12:05 pm,,30.19778; 71.46972,31.52139; 74.40333,45,0,0
28-Jul-06,35.04250; -89.97667,47.44889; -122.30944,35.04250; -89.97667,0,3,3 (all)
13August2006(2006-08-13),45.04778; 9.70056,36.6910139; 3.2154083,50.03333; 8.57056,3,,0
"August 22, 2006(2006-08-22)",48.3332111; 37.7457861,45.002083; 37.347306,59.80028; 30.26250,170,,0
"August27,2006(2006-08-27)",38.03639; -84.60583,38.03639; -84.60583,33.63667; -84.42806,49,1,1
1September2006(2006-09-01),36.300; 59.600,27.183; 56.267,36.23500; 59.64083,28,Unknown,120
29-Sep-06,-10.483; -53.250,-23.18639; -45.87861,40.79528; -73.10028,0,,7 (all)
"October 3, 2006(2006-10-03)[1]","Hijacked in Greek air space, landed at  Brindisi Airport in Italy",41.41472; 19.72056,40.97611; 28.81417,0,0,113 (all)
10-Oct-06,59.79278; 5.33972,58.87667; 5.63778,62.74472; 7.26250,4,12,12
"October 28, 2006(2006-10-28)",40.72; -74.17,28.42944; -81.30889,40.69250; -74.16861,0,0,154 (all)
29 October 2006(2006-10-29),9.067; 7.483,4.97583; 8.34722,12.91611; 5.20694,96,9,9
1 January 2007(2007-01),-3.68389; 118.14806,-6.12556; 106.65583,1.54917; 124.92639,102,,0
9 January 2007(2007-01-09),34.01639; 44.14528,,,34[2],1,1[2]
"January 24, 2007(2007-01-24)",12.13472; 15.05583,15.5894972; 32.5531611,13.63056; 25.35000,0,0,103 (all)[2]
21-Feb-07,-7.37972; 112.78694,"Soekarno–Hatta International Airport, Jakarta, Java",-7.37972; 112.78694,0,0,149 (all)
7March2007(2007-03-07),-7.78806; 110.43167,Soekarno-Hatta International Airport,-7.78806; 110.43167,21,112  (12 serious),119
"March 17, 2007(2007-03-17)",53.50167; 50.15500,61.34333; 73.40333,50.64333; 36.59000,6,20,51
23March2007(2007-03-23),2.033; 45.333,,,11,0,0
5-May-07,3.955700; 9.750900,5.261417; -3.925778,-1.31861; 36.92583,114,,0
3-Jun-07,8.617; -13.200,,,22,0,1
21-Jun-07,-8.73861; 24.99056,-8.73861; 24.99056,-11.667; 27.483,1,12,20
"June 25, 2007(2007-06-25)","Northeast of Bokor Mountain in Kampot Province, Cambodia",13.36222; 103.85972,10.633; 103.500,22,,0
"July17,2007(2007-07-17)",-23.61972; -46.66222,-29.99389; -51.17111,-23.43556; -46.47306,187[5],,0
9-Aug-07,-17.48833; -149.76222,-17.48944; -149.76222,-17.55667; -149.61139,20,,0
20August2007(2007-08-20),26.19583; 127.64583,25.07639; 121.22389,26.19583; 127.64583,0,4 (one from ground-crew),165 (all)
26 August 2007(2007-08-26),-5.39444; 26.99028,-5.39444; 26.99028,-1.683; 29.233,14,1,1
27-Oct-07,55.61806; 12.65611,60.29361; 5.21806,55.61806; 12.65611,0,0,44
"September16,2007(2007-09-16)",8.1149861; 98.3199861,13.91250; 100.60667,8.11306; 98.31667,90,40,40
"October 4, 2007(2007-10-04)",-4.40; 15.41,,,51 (including 30 on the ground)[1],At least 30,1 (possibly 2)
30-Nov-07,37.87333; 30.20194,40.97611; 28.81417,37.76472; 30.55667,57,,0
30 December 2007(2007-12-30),44.5659861; 26.0952250,44.57111; 26.08500,27.97722; 34.39472,0,0,123 (all)
4-Jan-08,11.333; -66.783,,,14,,0
17January2008(2008-01-17),51.46500; -0.43167,40.07250; 116.59750,51.47750; -0.46139,,47,152 (all)
8-Feb-08,-43.48944; 172.53222,-41.51833; 173.87028,-43.48944; 172.53222,0,3,9 (all)
"February 14, 2008(2008-02-14)",40.14722; 44.39583,,,0,7[1],21 (all)
21-Feb-08,8.65917; -71.23806,8.58222; -71.16111,10.60306; -66.99056,46,,0
"11:00, April3,2008(2008-04-03T11:00)",3.62000; -54.14306,5.81111; -55.19028,3.62000; -54.14306,19,0,0
11 April 2008 22:15 UTC,46.92722; 28.88667,48.200; 16.367,15.50056; 32.56000,8,,0
15 April 2008 (14:45 UTC),-1.68139; 29.23944,-1.6708556; 29.2384028,-4.385750; 15.4445694,3,40,"91 (83 passengers, 8 crew)"
26-May-08,55.400; 61.500,55.15472; 61.37583,58.000; 56.317,9,,0
30-May-08,14.0702; -87.2141,13.44083; -89.05556,25.79333; -80.29056,5 (including 2 on the ground)[1],65,121
10-Jun-08,15.58944; 32.55306,31.72250; 35.99333,15.5894972; 32.5531611,30,,184
7July2008(2008-07-07),4.600; -74.083,4.70139; -74.14694,25.79333; -80.29056,2 (on the ground),8 (5 serious),8 (all)
25 July 2008(2008-07-25),1.367; 104.283,51.47750; -0.46139,-37.67333; 144.84333,0,0,365 (all)
20August2008(2008-08-20),40.53000; -3.57028,41.29694; 2.07833,27.93194; -15.38667,154,18,18
24-Aug-08,"Near Cabañas, Zacapa, 115 km east of Guatemala City",14.58167; -90.52667,15.53333; -89.35000,11 (incl. pilot and copilot),3,3 passengers
24 August 2008(2008-08-24),43.05778; 74.47861,43.061306; 74.477556,35.41611; 51.15222,65,18,25
27August2008(2008-08-27),-1.63111; 103.63667,"Soekarno-Hatta International Airport, Jakarta, Indonesia",-1.63806; 103.64444,0,24 (14 serious),130 (all)
